kaisin,käisin
problem,probleem
voi,või
elanikutele,elanikele
präegu,praegu
restoraanis,restoranis
võttan,võtan
ettevõtes,ettevõttes
jatkub,jätkub
koerat,koera
laupaeval,laupäeval
lõppetada,lõpetada
mittu,mitu
naiteks,näiteks
pakkun,pakun
prüügi,prügi
räägisime,rääkisime
seminaari,seminari
siiamani,siiamaani
sõpraga,sõbraga
teenusi,teenuseid
ääremadel,ääremaadel
abivalmsad,abivalmis
hakkata,hakata
hasti,hästi
kokkuvõteks,kokkuvõtteks
lasteajas,lasteaias
nadalavahetusel,nädalavahetusel
opera,ooper
pakkub,pakub
pois,poiss
preagu,praegu
päras,pärast
radiot,raadiot
räägis,rääkis
seminaaril,seminaril
soobib,sobib
teisse,teise
uudisi,uudiseid
ööelda,öelda
aadres,aadress
aitah,aitäh
alkohool,alkohol
anan,annan
baleti,balleti
balett,ballett
budjeti,büdžeti
büüsnes,bisnis
digiseadmet,digiseadet
diskusioon,diskussioon
elanikute,elanike
ettekannega,ettekandega
ettendus,etendus
hakab,hakkab
hottelis,hotellis
inimeseid,inimesi
inimised,inimesed
internett,internet
jargmisel,järgmisel
jõib,jõi
kaisid,käisid
kaisime,käisime
klaassika,klassika
klasskaaslastega,klassikaaslastega
kogenenud,kogenud
koleegid,kolleegid
koogu,kogu
kulada,kuulata
kulan,kuulan
kultuuritest,kultuuridest
kuulud,kuulsad
kvaliteed,kvaliteet
käsin,käisin
kättes,kätes
lastedega,lastega
lastedele,lastele
laulas,laulis
leidan,leian
leppime,lepime
lepungu,lepingu
loetasin,lugesin
luhikesed,lühikesed
lõppus,lõpus
meldivad,meeldivad
moosikandid,moosekandid
museumisse,muuseumisse
mutub,muutub
märkanud,märganud
mõtetu,mõttetu
ni,nii
niimelt,nimelt
oleb,on
parast,pärast
pensionääre,pensionäre
pikkad,pikad
politikad,poliitikad
proekte,projekte
prügikasteid,prügikaste
päistas,paistis
restavreeritud,restaureeritud
rääkime,räägime
saitis,saidis
se,see
seminaar,seminar
spoordiga,spordiga
sõbrade,sõprade
sõbradega,sõpradega
sõe,soe
sündime,sünnime
tebepäeval,teabepäeval
